time,x,y,vx,vy
0.0,0.1998,0.19881900000000002,19.98,19.8819
0.01,0.3994002,0.3964581810000001,19.96002,19.7639181
0.02,0.5988007998,0.592918722819,19.94005998,19.646054181900002
0.03,0.7980019990002,0.7882018040961811,19.92011992002,19.528308127718102
0.04,0.9970039970011998,0.9823086022920849,19.90019980009998,19.410679819590385
0.05,1.1958069930041986,1.175240293689793,19.880299600299878,19.293169139770793
0.060000000000000005,1.3944111860111943,1.3669980533961033,19.86041930069958,19.175775970631022
0.07,1.5928167748251831,1.5575830553427072,19.84055888139888,19.058500194660393
0.08,1.791023958050358,1.7469964722873645,19.820718322517482,18.941341694465734
0.09,1.9890329340923076,1.9352394758150773,19.800897604194965,18.824300352771267
0.09999999999999999,2.1868439011582153,2.122313236339262,19.78109670659077,18.707376052418496
0.10999999999999999,2.384457057257057,2.3082189231029226,19.76131560988418,18.59056867636608
0.11999999999999998,2.5818726001998002,2.49295770417982,19.741554294274295,18.473878107689714
0.12999999999999998,2.7790907275996006,2.67653074647564,19.72181273998002,18.357304229582024
0.13999999999999999,2.976111636872001,2.8589392157291647,19.70209092724004,18.240846925352443
0.15,3.172935525235129,3.0401842765134357,19.6823888363128,18.12450607842709
0.16,3.369562589709894,3.2202670922369223,19.662706447476488,18.00828157234866
0.17,3.565993027120184,3.3991888251446856,19.64304374102901,17.892173290776313
0.18000000000000002,3.7622270340930637,3.576950636319541,19.62340069728798,17.776181117485535
0.19000000000000003,3.9582648070589705,3.7535536856832215,19.603777296590692,17.66030493636805
0.20000000000000004,4.1541065422519114,3.9289991319975384,19.5841735192941,17.54454463143168
0.21000000000000005,4.349752435709659,4.103288132865541,19.564589345774806,17.428900086800247
0.22000000000000006,4.545202683273949,4.276421844732675,19.54502475642903,17.313371186713447
0.23000000000000007,4.740457480590675,4.448401422887942,19.5254797316726,17.197957815526735
0.24000000000000007,4.9355170231100844,4.619228021465054,19.505954251940928,17.082659857711207
0.25000000000000006,5.130381506086974,4.788902793443589,19.486448297688987,16.967477197853494
0.26000000000000006,5.325051124580887,4.9574268906501455,19.4669618493913,16.85240972065564
0.2700000000000001,5.519526073456306,5.124801463759495,19.447494887541907,16.737457310934985
0.2800000000000001,5.713806547382849,5.291027662295736,19.428047392654367,16.62261985362405
0.2900000000000001,5.907892740835466,5.45610663463344,19.408619345261712,16.50789723377043
